
1x1	1x1x1
0000	0000


2x2	2x2x2
0000	0000
0010	0001
0001	0010
0011	0100
0100	0110
0101	1000
1000	1010
1010	1100
1100	1110


3x3	3x3x3
0000	0000
0010	0001
0020	0002
0001	0010
0011	0011
0021	0020
0002	0100
0012	0101
0022	0110
0100	0111
0110	0120
0101	0200
0111	0210
0102	0220
0112	1000
0200	1001
0201	1010
0202	1011
1000	1020
1010	1100
1020	1101
1001	1110
1011	1111
1021	1120
1100	1200
1110	1210
1101	1220
1111	2000
1200	2010
1201	2020
2000	2100
2010	2110
2020	2120
2100	2200
2110	2210
2200	2220


4x4	4x4x4
0000	0000
0010	0001
0020	0002
0030	0003
0001	0010
0011	0011
0021	0012
0031	0020
0002	0021
0012	0030
0022	0100
0032	0101
0003	0102
0013	0110
0023	0111
0033	0112
0100	0120
0110	0121
0120	0130
0101	0200
0111	0201
0121	0210
0102	0211
0112	0220
0122	0221
0103	0230
0113	0300
0123	0310
0200	0320
0210	0330
0201	1000
0211	1001
0202	1002
0212	1010
0203	1011
0213	1012
0300	1020
0301	1021
0302	1030
0303	1100
1000	1101
1010	1102
1020	1110
1030	1111
1001	1112
1011	1120
1021	1121
1031	1130
1002	1200
1012	1201
1022	1210
1032	1211
1100	1220
1110	1221
1120	1230
1101	1300
1111	1310
1121	1320
1102	1330
1112	2000
1122	2001
1200	2010
1210	2011
1201	2020
1211	2021
1202	2030
1212	2100
1300	2101
1301	2110
1302	2111
2000	2120
2010	2121
2020	2130
2030	2200
2001	2201
2011	2210
2021	2211
2031	2220
2100	2221
2110	2230
2120	2300
2101	2310
2111	2320
2121	2330
2200	3000
2210	3010
2201	3020
2211	3030
2300	3100
2301	3110
3000	3120
3010	3130
3020	3200
3030	3210
3100	3220
3110	3230
3120	3300
3200	3310
3210	3320
3300	3330

